,id,city,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,umpire1,umpire2,yr,team1_points,team2_points
651,1136605,Delhi,AB de Villiers,Feroz Shah Kotla,0,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,5.0,KN Ananthapadmanabhan,HDPK Dharmasena,2018,81.38636363636364,92.625
652,1136606,Pune,AT Rayudu,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,M Erasmus,YC Barde,2018,111.275,108.05
653,1136607,Mumbai,JC Buttler,Wankhede Stadium,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,Nitin Menon,S Ravi,2018,130.13333333333333,92.1842105263158
654,1136608,Indore,UT Yadav,Holkar Cricket Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10.0,BNJ Oxenford,VK Sharma,2018,100.47058823529412,92.625
655,1136609,Kolkata,Kuldeep Yadav,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,HDPK Dharmasena,AK Chaudhary,2018,137.28125,92.1842105263158
656,1136610,Mumbai,JJ Bumrah,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,3.0,M Erasmus,Nitin Menon,2018,130.13333333333333,100.47058823529412
657,1136611,Bengaluru,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,14.0,AY Dandekar,S Ravi,2018,92.625,108.05
658,1136612,Delhi,HV Patel,Feroz Shah Kotla,0,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils,runs,34.0,VA Kulkarni,HDPK Dharmasena,2018,81.38636363636364,111.275
659,1136613,Jaipur,S Gopal,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,runs,30.0,BNJ Oxenford,VK Sharma,2018,92.1842105263158,92.625
660,1136614,Hyderabad,CA Lynn,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,5.0,AK Chaudhary,S Ravi,2018,108.05,137.28125
661,1136615,Delhi,A Mishra,Feroz Shah Kotla,0,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils,runs,11.0,HDPK Dharmasena,CK Nandan,2018,81.38636363636364,130.13333333333333
662,1136616,Pune,L Ngidi,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,Nitin Menon,YC Barde,2018,111.275,100.47058823529412
663,1136617,Mumbai,F du Plessis,Wankhede Stadium,0,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,2.0,C Shamshuddin,M Erasmus,2018,108.05,111.275
664,1136618,Kolkata,AD Russell,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,25.0,AK Chaudhary,Nitin Menon,2018,137.28125,92.1842105263158
665,1136619,Kolkata,Rashid Khan,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,14.0,HDPK Dharmasena,Nitin Menon,2018,137.28125,108.05
666,1136620,Mumbai,SR Watson,Wankhede Stadium,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,M Erasmus,S Ravi,2018,111.275,108.05
667,1175356,Chennai,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,AY Dandekar,BNJ Oxenford,2019,114.8157894736842,83.11904761904762
668,1175357,Kolkata,AD Russell,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,CB Gaffaney,AK Chaudhary,2019,94.0,96.075
669,1175358,Mumbai,RR Pant,Wankhede Stadium,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,runs,37.0,YC Barde,S Ravi,2019,100.0,107.625
670,1175359,Jaipur,CH Gayle,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,runs,14.0,KN Ananthapadmanabhan,C Shamshuddin,2019,81.625,87.45
671,1175360,Delhi,SR Watson,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,6.0,M Erasmus,Nitin Menon,2019,107.625,114.8157894736842
672,1175361,Kolkata,AD Russell,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,28.0,VA Kulkarni,AK Chaudhary,2019,94.0,87.45
673,1175362,Bengaluru,JJ Bumrah,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,runs,6.0,CK Nandan,S Ravi,2019,83.11904761904762,100.0
674,1175363,Hyderabad,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,5.0,C Shamshuddin,BNJ Oxenford,2019,96.075,81.625
675,1175364,Chandigarh,MA Agarwal,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,VA Kulkarni,CB Gaffaney,2019,87.45,100.0
676,1175366,Hyderabad,JM Bairstow,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,118.0,KN Ananthapadmanabhan,S Ravi,2019,96.075,83.11904761904762
677,1175367,Chennai,MS Dhoni,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,8.0,YC Barde,CK Nandan,2019,114.8157894736842,81.625
678,1175368,Chandigarh,SM Curran,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,14.0,CB Gaffaney,AK Chaudhary,2019,87.45,107.625
679,1175369,Jaipur,S Gopal,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,AY Dandekar,M Erasmus,2019,81.625,83.11904761904762
680,1175370,Mumbai,HH Pandya,Wankhede Stadium,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,37.0,RJ Tucker,BNJ Oxenford,2019,100.0,114.8157894736842
681,1175371,Delhi,JM Bairstow,Feroz Shah Kotla,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,KN Ananthapadmanabhan,C Shamshuddin,2019,107.625,96.075
682,1175372,Bengaluru,AD Russell,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5.0,CB Gaffaney,AK Chaudhary,2019,83.11904761904762,94.0
683,1178393,Chennai,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,22.0,KN Ananthapadmanabhan,RJ Tucker,2019,114.8157894736842,87.45
684,1178394,Hyderabad,AS Joseph,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,40.0,AY Dandekar,Nitin Menon,2019,96.075,100.0
685,1178395,Bengaluru,K Rabada,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,YC Barde,S Ravi,2019,83.11904761904762,107.625
686,1178396,Jaipur,HF Gurney,Sawai Mansingh Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,CB Gaffaney,AK Chaudhary,2019,81.625,94.0
687,1178397,Chandigarh,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,AY Dandekar,M Erasmus,2019,87.45,96.075
688,1178398,Chennai,DL Chahar,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,RJ Tucker,C Shamshuddin,2019,114.8157894736842,94.0
689,1178399,Mumbai,KA Pollard,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,3.0,YC Barde,S Ravi,2019,100.0,87.45
690,1178400,Jaipur,MS Dhoni,Sawai Mansingh Stadium,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,UV Gandhe,BNJ Oxenford,2019,81.625,114.8157894736842
691,1178401,Kolkata,S Dhawan,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,YC Barde,CK Nandan,2019,94.0,107.625
692,1178402,Mumbai,JC Buttler,Wankhede Stadium,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,Nitin Menon,A Nand Kishore,2019,100.0,81.625
693,1178403,Chandigarh,AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8.0,UV Gandhe,S Ravi,2019,87.45,83.11904761904762
694,1178404,Kolkata,Imran Tahir,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,RJ Tucker,CK Nandan,2019,94.0,114.8157894736842
695,1178405,Hyderabad,KMA Paul,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,runs,39.0,BNJ Oxenford,AK Chaudhary,2019,96.075,107.625
696,1178406,Mumbai,SL Malinga,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,wickets,5.0,M Erasmus,Nitin Menon,2019,100.0,83.11904761904762
697,1178407,Chandigarh,R Ashwin,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,12.0,VA Kulkarni,AK Chaudhary,2019,87.45,81.625
698,1178408,Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6.0,UV Gandhe,IJ Gould,2019,96.075,114.8157894736842
699,1178409,Delhi,HH Pandya,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,40.0,BNJ Oxenford,NJ Llong,2019,107.625,100.0
700,1178410,Kolkata,V Kohli,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,runs,10.0,IJ Gould,Nitin Menon,2019,94.0,83.11904761904762
701,1178411,Jaipur,SPD Smith,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,YC Barde,S Ravi,2019,81.625,100.0
702,1178412,Delhi,SS Iyer,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,5.0,UV Gandhe,C Shamshuddin,2019,107.625,87.45
703,1178413,Hyderabad,KK Ahmed,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,NJ Llong,Nitin Menon,2019,96.075,94.0
704,1178414,Bengaluru,PA Patel,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,1.0,RJ Tucker,VA Kulkarni,2019,83.11904761904762,114.8157894736842
705,1178415,Jaipur,RR Pant,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,A Nand Kishore,S Ravi,2019,81.625,107.625
706,1178416,Chennai,SR Watson,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,NJ Llong,AK Chaudhary,2019,114.8157894736842,96.075
707,1178417,Bengaluru,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,17.0,C Shamshuddin,BNJ Oxenford,2019,83.11904761904762,87.45
708,1178418,Kolkata,VR Aaron,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,AY Dandekar,IJ Gould,2019,94.0,81.625
709,1178419,Chennai,RG Sharma,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,46.0,NJ Llong,AK Chaudhary,2019,114.8157894736842,100.0
710,1178420,Jaipur,JD Unadkat,Sawai Mansingh Stadium,0,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,YC Barde,A Nand Kishore,2019,81.625,96.075
711,1178421,Delhi,S Dhawan,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,16.0,KN Ananthapadmanabhan,BNJ Oxenford,2019,107.625,83.11904761904762
712,1178422,Kolkata,AD Russell,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,34.0,IJ Gould,Nitin Menon,2019,94.0,100.0
713,1178423,Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,45.0,CK Nandan,S Ravi,2019,96.075,87.45
714,1178425,Chennai,MS Dhoni,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,80.0,AY Dandekar,Nitin Menon,2019,114.8157894736842,107.625
715,1178427,Chandigarh,Shubman Gill,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,C Shamshuddin,BNJ Oxenford,2019,87.45,94.0
716,1178428,Delhi,A Mishra,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,5.0,AY Dandekar,IJ Gould,2019,107.625,81.625
717,1178429,Bengaluru,SO Hetmyer,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4.0,NJ Llong,AK Chaudhary,2019,83.11904761904762,96.075
718,1178430,Chandigarh,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,KN Ananthapadmanabhan,C Shamshuddin,2019,87.45,114.8157894736842
719,1178431,Mumbai,HH Pandya,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,9.0,A Nand Kishore,CK Nandan,2019,100.0,94.0
720,1181764,Chennai,SA Yadav,"MA Chidambaram Stadium, Chepauk",0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,wickets,6.0,NJ Llong,Nitin Menon,2019,100.0,114.8157894736842
721,1181766,Visakhapatnam,RR Pant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,2.0,BNJ Oxenford,S Ravi,2019,107.625,96.075
722,1181767,Visakhapatnam,F du Plessis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,BNJ Oxenford,S Ravi,2019,114.8157894736842,107.625
723,1181768,Hyderabad,JJ Bumrah,"Rajiv Gandhi International Stadium, Uppal",0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,1.0,IJ Gould,Nitin Menon,2019,100.0,114.8157894736842
724,1216492,Abu Dhabi,AT Rayudu,Sheikh Zayed Stadium,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,CB Gaffaney,VK Sharma,2020,150.6,82.175
725,1216494,Abu Dhabi,Mohammed Siraj,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8.0,VK Sharma,S Ravi,2020,89.07894736842105,95.0
726,1216495,Sharjah,S Nadeem,Sharjah Cricket Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10.0,C Shamshuddin,RK Illingworth,2020,150.6,92.78571428571429
727,1216496,Sharjah,SV Samson,Sharjah Cricket Stadium,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,16.0,C Shamshuddin,VA Kulkarni,2020,94.63888888888889,82.175
728,1216497,Abu Dhabi,CV Varun,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59.0,CB Gaffaney,PG Pathak,2020,89.07894736842105,104.8
729,1216498,Dubai,CJ Jordan,Dubai International Cricket Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12.0,AY Dandekar,PR Reiffel,2020,88.9,92.78571428571429
730,1216499,Abu Dhabi,SA Yadav,Sheikh Zayed Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,UV Gandhe,CB Gaffaney,2020,95.0,150.6
731,1216500,Sharjah,R Ashwin,Sharjah Cricket Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46.0,KN Ananthapadmanabhan,C Shamshuddin,2020,104.8,94.63888888888889
732,1216501,Abu Dhabi,RA Tripathi,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,10.0,KN Ananthapadmanabhan,RK Illingworth,2020,89.07894736842105,82.175
733,1216502,Sharjah,Sandeep Sharma,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,KN Ananthapadmanabhan,K Srinivasan,2020,95.0,92.78571428571429
734,1216503,Abu Dhabi,KA Pollard,Sheikh Zayed Stadium,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48.0,VK Sharma,S Ravi,2020,150.6,88.9
735,1216504,Dubai,Shivam Mavi,Dubai International Cricket Stadium,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37.0,KN Ananthapadmanabhan,C Shamshuddin,2020,89.07894736842105,94.63888888888889
736,1216505,Abu Dhabi,A Nortje,Sheikh Zayed Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,CB Gaffaney,S Ravi,2020,95.0,104.8
737,1216506,Abu Dhabi,RD Gaikwad,Sheikh Zayed Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9.0,PG Pathak,VK Sharma,2020,88.9,82.175
738,1216507,Dubai,R Tewatia,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,5.0,YC Barde,PR Reiffel,2020,92.78571428571429,94.63888888888889
739,1216508,Abu Dhabi,RG Sharma,Sheikh Zayed Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49.0,CB Gaffaney,S Ravi,2020,150.6,89.07894736842105
740,1216509,Sharjah,S Dhawan,Sharjah Cricket Stadium,0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5.0,KN Ananthapadmanabhan,RK Illingworth,2020,82.175,104.8
