,id,city,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,umpire1,umpire2,yr,team1_points,team2_points
70,392200,Durban,KC Sangakkara,Kingsmead,1,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,runs,3.0,MR Benson,SL Shastri,2009,1578.5,1539.0
71,392201,Centurion,DP Nannes,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6.0,GAV Baxter,AM Saheba,2009,2094.0,1862.5
72,392202,Centurion,SK Raina,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,38.0,GAV Baxter,RE Koertzen,2009,1799.5,1594.0
73,392203,East London,JP Duminy,Buffalo Park,1,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,M Erasmus,SK Tarapore,2009,1416.0,1539.0
74,392204,Durban,Yuvraj Singh,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,8.0,HDPK Dharmasena,S Ravi,2009,1835.0,1578.5
75,392205,Port Elizabeth,YK Pathan,St George's Park,1,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,wickets,3.0,S Asnani,BG Jerling,2009,2094.0,1594.0
76,392206,Johannesburg,SB Jakati,New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,runs,18.0,DJ Harper,RE Koertzen,2009,1799.5,1862.5
77,392207,Port Elizabeth,DPMD Jayawardene,St George's Park,1,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,6.0,S Asnani,MR Benson,2009,1578.5,1416.0
78,392208,Johannesburg,JH Kallis,New Wanderers Stadium,1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,9.0,RE Koertzen,TH Wijewardene,2009,1835.0,1539.0
79,392209,East London,MS Dhoni,Buffalo Park,1,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,runs,78.0,BR Doctrove,M Erasmus,2009,1799.5,2094.0
80,392210,Durban,GC Smith,Kingsmead,1,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,78.0,SS Hazare,IL Howell,2009,1578.5,1594.0
81,392211,Durban,G Gambhir,Kingsmead,1,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Daredevils,wickets,9.0,GAV Baxter,IL Howell,2009,1862.5,1416.0
82,392212,Centurion,RG Sharma,SuperSport Park,1,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,19.0,MR Benson,HDPK Dharmasena,2009,2094.0,1539.0
83,392213,Centurion,A Singh,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,K Hariharan,DJ Harper,2009,1835.0,1594.0
84,392215,East London,A Nehra,Buffalo Park,1,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,wickets,7.0,M Erasmus,SK Tarapore,2009,1862.5,1539.0
85,392216,Kimberley,DPMD Jayawardene,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,3.0,GAV Baxter,AM Saheba,2009,2094.0,1578.5
86,392217,Kimberley,S Badrinath,De Beers Diamond Oval,1,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,GAV Baxter,HDPK Dharmasena,2009,1799.5,1594.0
87,392218,Port Elizabeth,JP Duminy,St George's Park,1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,16.0,BR Doctrove,BG Jerling,2009,1835.0,1539.0
88,392219,Johannesburg,A Mishra,New Wanderers Stadium,1,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,Delhi Daredevils,wickets,7.0,SL Shastri,RB Tiffin,2009,1862.5,1416.0
89,392220,Kimberley,DR Smith,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,runs,53.0,GAV Baxter,HDPK Dharmasena,2009,2094.0,1594.0
90,392221,Centurion,LRPL Taylor,SuperSport Park,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6.0,M Erasmus,SS Hazare,2009,1835.0,1416.0
91,392222,Centurion,Harbhajan Singh,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,8.0,SS Hazare,RE Koertzen,2009,1578.5,1539.0
92,392223,Durban,R Bhatia,Kingsmead,1,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Delhi Daredevils,runs,12.0,DJ Harper,SL Shastri,2009,2094.0,1862.5
93,392224,Durban,LRPL Taylor,Kingsmead,1,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bangalore,wickets,2.0,BR Doctrove,DJ Harper,2009,1835.0,1799.5
94,392225,Durban,SK Warne,Kingsmead,1,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2.0,BR Doctrove,DJ Harper,2009,1539.0,1594.0
95,392226,Bloemfontein,B Lee,OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,HDPK Dharmasena,IL Howell,2009,1862.5,1578.5
96,392227,Port Elizabeth,ML Hayden,St George's Park,1,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7.0,SK Tarapore,SJA Taufel,2009,1799.5,1539.0
97,392228,Johannesburg,RG Sharma,New Wanderers Stadium,1,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Deccan Chargers,wickets,6.0,RE Koertzen,S Ravi,2009,2094.0,1416.0
98,392229,Johannesburg,Yuvraj Singh,New Wanderers Stadium,1,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,runs,1.0,S Ravi,RB Tiffin,2009,2094.0,1578.5
99,392230,Bloemfontein,AB de Villiers,OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,runs,14.0,SS Hazare,IL Howell,2009,1862.5,1594.0
100,392231,Centurion,BJ Hodge,SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,7.0,SJA Taufel,RB Tiffin,2009,1799.5,1416.0
101,392232,Johannesburg,JH Kallis,New Wanderers Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,Royal Challengers Bangalore,wickets,7.0,IL Howell,RB Tiffin,2009,1835.0,1862.5
102,392233,Durban,LR Shukla,Kingsmead,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4.0,BG Jerling,SJA Taufel,2009,1416.0,1594.0
103,392234,Durban,M Muralitharan,Kingsmead,1,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,BG Jerling,SJA Taufel,2009,1799.5,1578.5
104,392235,Centurion,V Sehwag,SuperSport Park,1,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,wickets,4.0,IL Howell,S Ravi,2009,1862.5,1539.0
105,392236,Centurion,MK Pandey,SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,12.0,IL Howell,S Ravi,2009,1835.0,2094.0
106,392237,Centurion,AC Gilchrist,SuperSport Park,1,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6.0,BR Doctrove,DJ Harper,2009,1862.5,2094.0
107,392238,Johannesburg,MK Pandey,New Wanderers Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6.0,RE Koertzen,SJA Taufel,2009,1835.0,1799.5
108,392239,Johannesburg,A Kumble,New Wanderers Stadium,1,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,Deccan Chargers,runs,6.0,RE Koertzen,SJA Taufel,2009,1835.0,2094.0
109,419106,Mumbai,AD Mathews,Dr DY Patil Sports Academy,0,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Kolkata Knight Riders,runs,11.0,RE Koertzen,RB Tiffin,2010,2004.5,1599.0
110,419107,Mumbai,YK Pathan,Brabourne Stadium,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,4.0,RE Koertzen,RB Tiffin,2010,2020.5,1685.5
111,419108,Chandigarh,G Gambhir,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,5.0,BR Doctrove,S Ravi,2010,1684.5,1766.0
